"species_code","common_name","scientific_name","luomus_name","suomenkielinen_nimi","class"
"fieldf","Fieldfare","Turdus pilaris","Turdus pilaris","räkättirastas",194
"caster1","Caspian Tern","Hydroprogne caspia","Hydroprogne caspia","räyskä",195
"cohmar1","Common House-Martin","Delichon urbicum","Delichon urbicum","räystäspääsky",196
"loeowl","Long-eared Owl","Asio otus","Asio otus","sarvipöllö",197
"thrnig1","Thrush Nightingale","Luscinia luscinia","Luscinia luscinia","satakieli",198
"lbbgul","Lesser Black-backed Gull","Larus fuscus","Larus fuscus","selkälokki",199
"brant","Brant","Branta bernicla","Branta bernicla","sepelhanhi",200
"cowpig1","Common Wood-Pigeon","Columba palumbus","Columba palumbus","sepelkyyhky",201
"rinouz1","Ring Ouzel","Turdus torquatus","Turdus torquatus","sepelrastas",202
"colfly1","Collared Flycatcher","Ficedula albicollis","Ficedula albicollis","sepelsieppo",203
"grcgre1","Great Crested Grebe","Podiceps cristatus","Podiceps cristatus","silkkiuikku",204
"refblu","Red-flanked Bluetail","Tarsiger cyanurus","Tarsiger cyanurus","sinipyrstö",205
"blueth","Bluethroat","Luscinia svecica","Luscinia svecica","sinirinta",206
"mallar3","Mallard","Anas platyrhynchos","Anas platyrhynchos","sinisorsa",207
"norhar1","Hen Harrier","Circus cyaneus","Circus cyaneus","sinisuohaukka",208
"blutit","Eurasian Blue Tit","Cyanistes caeruleus","Parus caeruleus","sinitiainen",209
"woowar","Wood Warbler","Phylloscopus sibilatrix","Phylloscopus sibilatrix","sirittäjä",210
"citwag","Citrine Wagtail","Motacilla citreola","Motacilla citreola","sitruunavästäräkki",211
"ruff","Ruff","Calidris pugnax","Philomachus pugnax","suokukko",212
"sheowl","Short-eared Owl","Asio flammeus","Asio flammeus","suopöllö",213
"dunlin","Dunlin","Calidris alpina","Calidris alpina","suosirri",214
"osprey","Osprey","Pandion haliaetus","Pandion haliaetus","sääksi",215
"yebwar3","Yellow-browed Warbler","Phylloscopus inornatus","Phylloscopus inornatus","taigauunilintu",216
"comsni","Common Snipe","Gallinago gallinago","Gallinago gallinago","taivaanvuohi",217
"gretit1","Great Tit","Parus major","Parus major","talitiainen",218
"gnwtea","Green-winged Teal","Anas crecca","Anas crecca","tavi",219
"pingro","Pine Grosbeak","Pinicola enucleator","Pinicola enucleator","taviokuurna",220
"blagro1","Black Grouse","Tetrao tetrix","Tetrao tetrix","teeri",221
"comgol","Common Goldeneye","Bucephala clangula","Bucephala clangula","telkkä",222
"comswi","Common Swift","Apus apus","Apus apus","tervapääsky",223
"eurgol","European Goldfinch","Carduelis carduelis","Carduelis carduelis","tikli",224
"bohwax","Bohemian Waxwing","Bombycilla garrulus","Bombycilla garrulus","tilhi",225
"comchi1","Common Chiffchaff","Phylloscopus collybita","Phylloscopus collybita","tiltaltti",226
"rebmer","Red-breasted Merganser","Mergus serrator","Mergus serrator","tukkakoskelo",227
"tufduc","Tufted Duck","Aythya fuligula","Aythya fuligula","tukkasotka",228
"firecr1","Common Firecrest","Regulus ignicapilla","Regulus ignicapilla","tulipäähippiäinen",229
"gwfgoo","Greater White-fronted Goose","Anser albifrons","Anser albifrons","tundrahanhi",230
"bkbplo","Black-bellied Plover","Pluvialis squatarola","Pluvialis squatarola","tundrakurmitsa",231
"gyrfal","Gyrfalcon","Falco rusticolus","Falco rusticolus","tunturihaukka",232
"lotjae","Long-tailed Jaeger","Stercorarius longicaudus","Stercorarius longicaudus","tunturikihu",233
"horlar","Horned Lark","Eremophila alpestris","Eremophila alpestris","tunturikiuru",234
"snoowl1","Snowy Owl","Bubo scandiacus","Bubo scandiacus","tunturipöllö",235
"eucdov","Eurasian Collared-Dove","Streptopelia decaocto","Streptopelia decaocto","turkinkyyhky",236
"eutdov","European Turtle-Dove","Streptopelia turtur","Streptopelia turtur","turturikyyhky",237
"eurkes","Eurasian Kestrel","Falco tinnunculus","Falco tinnunculus","tuulihaukka",238
"corplo","Common Ringed Plover","Charadrius hiaticula","Charadrius hiaticula","tylli",239
"banswa","Bank Swallow","Riparia riparia","Riparia riparia","törmäpääsky",240
"norlap","Northern Lapwing","Vanellus vanellus","Vanellus vanellus","töyhtöhyyppä",241
