species_code,common_name,scientific_name,class
bobfly1,Boat-billed Flycatcher,Megarynchus pitangua,289
strfly1,Streaked Flycatcher,Myiodynastes maculatus,290
varfly,Variegated Flycatcher,Empidonomus varius,291
croslf1,Crowned Slaty Flycatcher,Empidonomus aurantioatrocristatus,292
trokin,Tropical Kingbird,Tyrannus melancholicus,293
easkin,Eastern Kingbird,Tyrannus tyrannus,294
fotfly,Fork-tailed Flycatcher,Tyrannus savana,295
rubpep1,Rufous-browed Peppershrike,Cyclarhis gujanensis,296
chivir1,Chivi Vireo,Vireo chivi,297
plcjay1,Plush-crested Jay,Cyanocorax chrysops,298
bawswa1,Blue-and-white Swallow,Pygochelidon cyanoleuca,299
tahswa2,Tawny-headed Swallow,Alopochelidon fucata,300
srwswa1,Southern Rough-winged Swallow,Stelgidopteryx ruficollis,301
gybmar,Gray-breasted Martin,Progne chalybea,302
soumar,Southern Martin,Progne elegans,303
brcmar1,Brown-chested Martin,Progne tapera,304
whrswa1,White-rumped Swallow,Tachycineta leucorrhoa,305
chiswa1,Chilean Swallow,Tachycineta leucopyga,306
banswa,Bank Swallow,Riparia riparia,307
barswa,Barn Swallow,Hirundo rustica,308
cliswa,Cliff Swallow,Petrochelidon pyrrhonota,309
masgna1,Masked Gnatcatcher,Polioptila dumicola,310
houwre,House Wren,Troglodytes aedon,311
sedwre,Sedge Wren,Cistothorus platensis,312
patmoc1,Patagonian Mockingbird,Mimus patagonicus,313
chbmoc1,Chalk-browed Mockingbird,Mimus saturninus,314
whbmoc1,White-banded Mockingbird,Mimus triurus,315
swathr,Swainson's Thrush,Catharus ustulatus,316
rubthr1,Rufous-bellied Thrush,Turdus rufiventris,317
crbthr1,Creamy-bellied Thrush,Turdus amaurochalinus,318
houspa,House Sparrow,Passer domesticus,319
yelpip2,Yellowish Pipit,Anthus lutescens,320
shbpip1,Short-billed Pipit,Anthus furcatus,321
corpip1,Correndera Pipit,Anthus correndera,322
helpip1,Hellmayr's Pipit,Anthus hellmayri,323
puteup1,Purple-throated Euphonia,Euphonia chlorotica,324
hoosis1,Hooded Siskin,Spinus magellanicus,325
graspa1,Grassland Sparrow,Ammodramus humeralis,326
sabspa1,Saffron-billed Sparrow,Arremon flavirostris,327
rucspa1,Rufous-collared Sparrow,Zonotrichia capensis,328
boboli,Bobolink,Dolichonyx oryzivorus,329
whbbla2,White-browed Meadowlark,Leistes superciliaris,330
lotmea1,Long-tailed Meadowlark,Leistes loyca,331
creoro1,Crested Oropendola,Psarocolius decumanus,332
sobcac1,Solitary Black Cacique,Cacicus solitarius,333
gowcac1,Golden-winged Cacique,Cacicus chrysopterus,334
epaori4,Variable Oriole,Icterus pyrrhopterus,335
scrcow1,Screaming Cowbird,Molothrus rufoaxillaris,336
shicow,Shiny Cowbird,Molothrus bonariensis,337
schbla1,Scarlet-headed Blackbird,Amblyramphus holosericeus,338
chobla1,Chopi Blackbird,Gnorimopsar chopi,339
bawcow4,Grayish Baywing,Agelaioides badius,340
unibla2,Unicolored Blackbird,Agelasticus cyanopus,341
yewbla2,Yellow-winged Blackbird,Agelasticus thilius,342
chcbla2,Chestnut-capped Blackbird,Chrysomus ruficapillus,343
masyel1,Masked Yellowthroat,Geothlypis aequinoctialis,344
tropar,Tropical Parula,Setophaga pitiayumi,345
gcrwar,Golden-crowned Warbler,Basileuterus culicivorus,346
heptan,Hepatic Tanager,Piranga flava,347
blbgro2,Black-backed Grosbeak,Pheucticus aureoventris,348
ultgro1,Ultramarine Grosbeak,Cyanoloxia brissonii,349
reccar,Red-crested Cardinal,Paroaria coronata,350
yebcar,Yellow-billed Cardinal,Paroaria capitata,351
orhtan1,Orange-headed Tanager,Thlypopsis sordida,352
riwfin1,Ringed Warbling-Finch,Microspingus torquatus,353
bcwfin2,Black-capped Warbling-Finch,Microspingus melanoleucus,354
baytan3,Blue-and-yellow Tanager,Pipraeidea bonariensis,355
saytan1,Sayaca Tanager,Thraupis sayaca,356
chvcon1,Chestnut-vented Conebill,Conirostrum speciosum,357
codfin1,Common Diuca-Finch,Diuca diuca,358
blcfin1,Black-crested Finch,Lophospingus pusillus,359
casfin1,Carbonated Sierra-Finch,Porphyrospiza carbonaria,360
ciwfin2,Cinnamon Warbling-Finch,Poospiza ornata,361
barwaf2,Black-and-chestnut Warbling-Finch,Poospiza whitii,362
saffin,Saffron Finch,Sicalis flaveola,363
gryfin1,Grassland Yellow-Finch,Sicalis luteola,364
grpfin1,Great Pampa-Finch,Embernagra platensis,365
blbgra1,Blue-black Grassquit,Volatinia jacarina,366
linsee1,Lined Seedeater,Sporophila lineola,367
tabsee1,Tawny-bellied Seedeater,Sporophila hypoxantha,368
datsee1,Dark-throated Seedeater,Sporophila ruficollis,369
docsee1,Double-collared Seedeater,Sporophila caerulescens,370
rucsee1,Rusty-collared Seedeater,Sporophila collaris,371
batsee1,Band-tailed Seedeater,Catamenia analis,372
recfin1,Red-crested Finch,Coryphospingus cucullatus,373
ducgra2,Dull-colored Grassquit,Asemospiza obscura,374
mccfin1,Many-colored Chaco Finch,Saltatricula multicolor,375
grasal1,Grayish Saltator,Saltator coerulescens,376
gobsal1,Golden-billed Saltator,Saltator aurantiirostris,377
